name,high_school,position,ht_wt,national_rank,position_rank,state_rank,recruit_score,college,year
Adam Arnold," Bellmont Senior (Decatur, IN)  ", PF , 6-6 / 200 ,669,171,17,0.7667,indiana-state,2005
Kyle Pattrick," Ellsworth C.C. (Iowa Falls, IA)  ", PF , 6-9 / 250 ,47,16,2,0.7667,loyola,2005
Leon Young," Lakewood (Lakewood, CA)  ", PF , 6-6 / 235 ,526,139,48,0.7667,loyola,2005
Brandon Woods," Eastern Arizona College (Thatcher, AZ)  ", SF , 6-8 / 190 ,145,30,5,0.7667,loyola,2005
Derrick Moore," Lincoln (Dallas, TX)  ", PF , 6-7 / 205 ,634,168,83,0.7667,missouri-state,2005
Travis Brown," Richfield Senior (Minneapolis, MN)  ", SG , 6-4 / 180 ,503,132,10,0.7667,northern-iowa,2005
Jordan Armstrong," Muncie Central (Muncie, IN)  ", PF , 6-7 / 210 ,148,36,4,0.8556,southern-illinois,2005
Bryan Mullins," Downers Grove South (Downers Grove, IL)  ", PG , 6-0 / 180 ,227,43,11,0.8556,southern-illinois,2005
Nick Rogers," Pendleton Heights (Pendleton, IN)  ", PF , 6-8 / 275 ,330,94,6,0.8111,southern-illinois,2005
Chris Cornelius," Brewster Academy (Wolfeboro, NH)  ", PF , 6-7 / 205 ,463,123,8,0.7667,southern-illinois,2005
Urule Igbavboa," Tartan (Saint Paul, MN)  ", PF , 6-8 / 205 ,183,47,1,0.8556,valparaiso,2005
Muhammad Kone," College of Southern Idaho (Rogerson, ID)  ", PF , 6-10 / 235 ,14,5,3,0.8556,valparaiso,2005
Arden Skoglund," Hopkins  (Hopkins, MN)  ", C , 6-9 / 205 ,453,33,9,0.7667,valparaiso,2005
Brandon McPherson," Lawrence North (Indianapolis, IN)  ", SG , 6-1 / 185 ,664,175,16,0.7667,valparaiso,2005
Andrew Henke," Hopkins  (Hopkins, MN)  ", SF , 6-5 / 195 ,316,65,5,0.8111,air-force,2005
John Kreklow," Blaine Senior (Minneapolis, MN)  ", SG , 6-7 / 205 ,382,96,7,0.7667,air-force,2005
Mike McLain," Centennial (Gresham, OR)  ", PF , 6-7 / 210 ,523,138,12,0.7667,air-force,2005
Mason Woolridge," Fork Union Military Academy (Fork Union, VA)  ", PF , 6-7 / 210 ,12,4,12,0.7667,air-force,2005
Anthony Thomas," Mansfield Summit (Arlington, TX)  ", PG , 5-11 / 175 ,525,108,66,0.7667,boise-state,2005
Kenny Wilson," San Antonio Christian (San Antonio, TX)  ", SG , 6-4 / 178 ,652,171,85,0.7667,boise-state,2005
Tyler Tiedeman," Santa Rosa (Santa Rosa, CA)  ", SG , 6-6 / 205 ,693,186,66,0.7667,boise-state,2005
Michael Harrison," Aurora Central (Aurora, CO)  ", PF , 6-10 / 215 ,346,99,8,0.8000,colorado-state,2005
C.J. Clark," Spring Woods (Houston, TX)  ", SF , 6-6 / 185 ,409,84,46,0.7667,colorado-state,2005
Corey Lewis," Dodge City C.C. (Dodge City, KS)  ", PG , 6-0 / 170 ,147,36,13,0.7667,colorado-state,2005
Quinton Hosley," Lamar (Lamar, CO)  ", SF , 6-7 / 200 ,343,72,7,0.8000,fresno-state,2005
Justin Loewe," South Texas Academy Of Medical Technology (San Benito, TX)  ", SG , 6-4 / 195 ,589,152,78,0.7667,fresno-state,2005
Renato Cesar," Arizona Western College (Yuma, AZ)  ", C , 6-9 / 230 ,114,9,1,0.7667,fresno-state,2005
Anthony Teague," Dodge City C.C. (Dodge City, KS)  ", SG , 6-5 / 190 ,33,6,3,0.8000,new-mexico,2005
Joel Box," Quincy (Quincy, IL)  ", PF , 6-8 / 250 ,351,103,18,0.8000,new-mexico,2005
Kyle Prochaska," Iowa Western C.C. (Council Bluffs, IA)  ", PF , 6-6 / 200 ,43,14,1,0.8000,new-mexico,2005
Kyle Spain," Newark Memorial (Newark, CA)  ", SF , 6-6 / 215 ,324,68,24,0.8111,san-diego-state,2005
Brett Hoerner," Fullerton College (Fullerton, CA)  ", C , 6-10 / 190 ,24,2,7,0.8111,san-diego-state,2005
Richie Williams," Steele Canyon (Spring Valley, CA)  ", PG , 5-9 / 155 ,596,121,55,0.7667,san-diego-state,2005
Devonte Thomas," John F. Kennedy (Fremont, CA)  ", SG , 6-4 / 185 ,614,158,59,0.7667,san-jose-state,2005
Carlton Spencer," Cabrini (New Orleans, LA)  ", PG , 6-3 / 185 ,671,136,14,0.7667,san-jose-state,2005
Kevin Fleming," West Valley College (Saratoga, CA)  ", SF , 6-6 / 195 ,136,24,26,0.7667,san-jose-state,2005
Julian Richardson," Miami Central (Miami, FL)  ", PG , 6-2 / 185 ,697,141,41,0.7667,san-jose-state,2005
Jovan Adams," Gulf Shores Sch (Leroy, AL)  ", PG , 6-1 / 180 ,49,8,2,0.9801,unlv,2005
Jerome Johnson," Hargrave Military Academy (Chatham, VA)  ", PF , 6-8 / 225 ,6,1,6,0.8556,unlv,2005
Joe Darger," Riverton (Riverton, UT)  ", SF , 6-7 / 210 ,257,54,5,0.8556,unlv,2005
Gaston Essengue," Weatherford (Weatherford, TX)  ", PF , 6-8 / 240 ,271,75,34,0.8444,unlv,2005
Wendell White," Antelope Valley College (Lancaster, CA)  ", SG , 6-6 / 215 ,28,4,8,0.8000,unlv,2005
Jason Petrimoulx," Dixie (Saint George, UT)  ", SG , 6-4 / 190 ,354,86,6,0.8000,unlv,2005
Tyler Newbold," Payson (Payson, UT)  ", SG , 6-5 / 190 ,215,55,3,0.8556,utah-state,2005
Chaz Spicer," Kankakee (Kankakee, IL)  ", PF , 6-7 / 215 ,510,135,24,0.7667,utah-state,2005
Durrall Peterson," Hutchinson (Hutchinson, KS)  ", SF , 6-4 / 210 ,524,105,3,0.7667,utah-state,2005
Mike Daniels," Grayson County College (Denison, TX)  ", PG , 6-3 / 190 ,107,27,18,0.7667,utah-state,2005
Chris Session," Grayson County College (Denison, TX)  ", SF , 6-6 / 215 ,119,21,20,0.7667,utah-state,2005
Brandon Ewing," Julian (Chicago, IL)  ", PG , 6-1 / 170 ,225,42,10,0.8556,wyoming,2005
Ike Okoye," Woodcreek (Roseville, CA)  ", PF , 6-8 / 215 ,491,131,42,0.7667,wyoming,2005
Travis Nelson," Linn-Mar (Marion, IA)  ", PF , 6-9 / 205 ,493,132,5,0.7667,wyoming,2005
Ross Forman," Henry Senior (Minneapolis, MN)  ", SF , 6-7 / 205 ,571,115,12,0.7667,wyoming,2005
Brad Jones," Marked Tree (Marked Tree, AR)  ", PG , 5-10 / 190 ,698,142,7,0.7667,wyoming,2005
Andy Hampton," Shelbyville Sr Sch (Shelbyville, IN)  ", SF , 6-7 / 214 ,514,102,10,0.7667,iupui,2005
Jeremy Holland," Austin (Austin, IN)  ", SF , 6-8 / 225 ,570,114,13,0.7667,iupui,2005
Sammy Hunter," Southeastern (Augusta, IL)  ", PG , 6-3 / 180 ,481,100,23,0.7667,western-illinois,2005
Chris Gonzalez," Navarro College (Corsicana, TX)  ", SF , 6-8 / 172 ,141,28,27,0.7667,western-illinois,2005
Marlon Mahorn," Coffeyville C.C. (Coffeyville, KS)  ", SF , 6-7 / 220 ,148,31,14,0.7667,western-illinois,2005
Jarvis Jackson," North Forsyth (Winston Salem, NC)  ", SF , 6-5 / 210 ,436,88,17,0.7667,appalachian-state,2005
Ryan Abraham," Starmount (Boonville, NC)    ", PG , 6-0 / 175 ,495,104,18,0.7667,appalachian-state,2005
P.L. Henderson," Florida Christian School (Miami, FL)  ", PF , 6-7 / 210 ,552,144,33,0.7667,appalachian-state,2005
Ashton Farmer," Charleston (Charleston, MO)  ", SF , 6-7 / 215 ,335,71,4,0.8111,arkansas-state,2005
Kewain Gant," Moberly Area Community College (Kirksville, MO)  ", PF , 6-8 / 220 ,77,28,2,0.7667,arkansas-state,2005
Diego Salazar," Barton C.C. (Great Bend, KS)  ", PF , 6-9 / 235 ,49,18,4,0.7667,georgia-southern,2005
Courtnei Houston," Statesboro (Statesboro, GA)  ", PG , 6-0 / 160 ,668,135,28,0.7667,georgia-southern,2005
Ranard Robinson," Fullerton College (Fullerton, CA)  ", C , 6-10 / 260 ,8,1,1,0.8556,georgia-state,2005
Rashad Chase," Mays (Atlanta, GA)  ", PF , 6-7 / 225 ,195,51,12,0.8556,georgia-state,2005
Booker Woodfox," Lewisville (Lewisville, TX)  ", SG , 6-0 / 170 ,223,58,27,0.8556,louisiana,2005
Maurice Barksdale," Baltimore City College (Baltimore, MD)  ", PG , 5-11 / 185 ,616,126,20,0.7667,louisiana,2005
Ed Turner," College of Central Florida (Ocala, FL)  ", SF , 6-8 / 175 ,140,27,19,0.7667,louisiana,2005
David Garrison," Genesis One Christian School (Mendenhall, MS)  ", SF , 6-6 / 210 ,411,85,9,0.7667,louisiana-monroe,2005
Afam Nweke," Coastal Christian Academy (Virginia Beach, VA)  ", PF , 6-7 / 220 ,506,134,20,0.7667,louisiana-monroe,2005
Brandon Roberts," Van HS (Van, TX)  ", PG , 5-11 / 160 ,551,114,71,0.7667,louisiana-monroe,2005
Tony Hooper," Aldine (Houston, TX)  ", PG , 5-10 / 165 ,661,134,89,0.7667,louisiana-monroe,2005
Jinski Grigsby," Nacogdoches (Nacogdoches, TX)  ", SF , 6-7 / 210 ,184,37,21,0.8556,south-alabama,2005
Leandro Buboltz," South Plains College (Levelland, TX)  ", SF , 6-7 / 225 ,58,8,8,0.7667,south-alabama,2005
Trevor Cook," Coppell (Coppell, TX)  ", PF , 6-8 / 220 ,450,121,54,0.7667,texas-state,2005
Jason Rogers," Madison (Houston, TX)  ", SG , 6-4 / 180 ,533,139,68,0.7667,texas-state,2005
Jeremy Johnson," Northern Oklahoma (Tonkawa, OK)  ", SG , 6-3 / 200 ,98,19,7,0.7667,texas-state,2005
Dylan Moseley," Frisco (Frisco, TX)  ", SF , 6-7 / 200 ,618,122,81,0.7667,texas-state,2005
Charles Dotson," Navarro College (Corsicana, TX)  ", PF , 6-6 / 215 ,122,38,22,0.7667,texas-state,2005
Jushay Rockett," Arizona Western College (Yuma, AZ)  ", SF , 6-4 / 230 ,124,22,3,0.7667,texas-state,2005
Brandon Bush," Mayde Creek (Houston, TX)  ", SG , 6-6 / 185 ,666,177,92,0.7667,texas-state,2005
C.J. Webster," Marshall (Marshall, TX)  ", PF , 6-8 / 240 ,703,179,102,0.7667,texas-state,2005
Brandon Long," Rich Central Campus (Olympia Fields, IL)  ", PG , 6-0 / 160 ,287,52,14,0.8111,texas-arlington,2005
Anthony Vereen," Gulf Shores Sch (Leroy, AL)  ", PF , 6-7 / 220 ,389,109,14,0.7667,texas-arlington,2005
Terrell Henry," Gulf Shores Sch (Leroy, AL)  ", SF , 6-5 / 190 ,544,107,16,0.7667,texas-arlington,2005
Brandon Stores," Indio Christian Center Academy (Indio, CA)  ", PF , 6-9 / 220 ,265,73,19,0.8444,new-mexico-state,2005
Jahmar Young," Scotland County (Laurinburg, NC)  ", SG , 6-4 / 165 ,329,80,13,0.8111,new-mexico-state,2005
Ted Knauber," Northeastern (Springfield, OH)  ", SG , 6-3 / 170 ,386,99,8,0.7667,new-mexico-state,2005
Shaun Davis," College of Southern Idaho (Rogerson, ID)  ", PG , 5-11 / 165 ,57,13,8,0.7667,new-mexico-state,2005
Kevin Ford," Jefferson (Portland, OR)  ", SF , 6-7 / 210 ,487,93,9,0.7667,new-mexico-state,2005
Shon Caston," Los Angeles Senior (Los Angeles, CA)  ", SF , 6-5 / 200 ,662,135,65,0.7667,new-mexico-state,2005
Chinemelu Elonu," Alief Elsik (Houston, TX)  ", C , 6-10 / 210 ,673,51,94,0.7667,new-mexico-state,2005
David Fisher," Arkansas (Texarkana, AR)  ", PF , 6-6 / 208 ,722,184,8,0.7667,new-mexico-state,2005
Michael Golden," Crescent Valley (Corvallis, OR)  ", SF , 6-5 / 200 ,295,60,5,0.8111,seattle,2005
Leigh Swanson," Mountlake Terrace (Mountlake Terrace, WA)  ", PF , 6-8 / 210 ,567,153,16,0.7667,seattle,2005
James Anderson," Page (Page, AZ)  ", PF , 6-10 / 200 ,470,126,8,0.7667,byu,2005
Vuk Ivanovic," Seton Hall Preparatory School (West Orange, NJ)  ", C , 6-11 / 260 ,609,46,19,0.7667,byu,2005
Jeremy Pargo," Paul Robeson (Brooklyn, NY)  ", SG , 6-2 / 175 ,108,34,8,0.9582,gonzaga,2005
Mamery Diallo," Midland (Midland, TX)  ", C , 6-10 / 235 ,270,20,33,0.8444,gonzaga,2005
Larry Gurganious," St Mary's College (Albany, CA)  ", SF , 6-5 / 195 ,317,66,23,0.8111,gonzaga,2005
Jordan Mast," Jesuit (Portland, OR)  ", SG , 6-2 / 165 ,423,110,7,0.7667,gonzaga,2005
Wolfgang Rafferty," American River C.C. (Sacramento, CA)  ", C , 6-8 / 240 ,63,6,16,0.7667,pacific,2005
Steffan Johnson," Kent Meridian (Kent, WA)  ", PG , 6-1 / 170 ,456,94,11,0.7667,pacific,2005
Joe Ford," Campbell Hall School (Valley Village, CA)  ", SG , 6-6 / 200 ,493,128,43,0.7667,pacific,2005
Reggie Vezia," Solano C.C. (Fairfield, CA)  ", PG , 6-2 / 185 ,104,25,21,0.7667,pacific,2005
Ben Pemberton," Tyler J.C.  (Tyler, TX)  ", SG , 6-5 / 190 ,135,27,25,0.7667,pacific,2005
Anthony Esparza," Fresno City College (Fresno, CA)  ", SF , 6-5 / 190 ,138,26,27,0.7667,pacific,2005
Brian McTear," Crenshaw (Los Angeles, CA)  ", PG , 5-10 / 155 ,418,83,36,0.7667,portland,2005
Jamie Jones," El Segundo (El Segundo, CA)  ", PF , 6-7 / 220 ,566,152,53,0.7667,portland,2005
Marcus Carter," Claremont (Claremont, CA)  ", SG , 6-4 / 185 ,612,157,58,0.7667,portland,2005
Alex Tiefenthaler," Bethel (Spanaway, WA)  ", SF , 6-8 / 205 ,625,125,18,0.7667,portland,2005
Ray Murdock," Pinnacle (Phoenix, AZ)  ", SG , 6-4 / 195 ,298,76,4,0.8111,san-diego,2005
Christopher Lewis," Bells (Bells, TX)  ", PF , 6-8 / 190 ,300,85,38,0.8111,san-diego,2005
Brandon Johnson," Fort Bend Willowridge (Houston, TX)  ", PG , 6-0 / 175 ,610,124,80,0.7667,san-diego,2005
Thernest White," Tyler J.C.  (Tyler, TX)  ", SF , 6-6 / 220 ,137,25,26,0.7667,san-diego,2005
Diamon Simpson," Hayward (Hayward, CA)  ", PF , 6-7 / 195 ,203,56,17,0.8556,st-marys,2005
Ian O'leary," Woodland Christian School (Woodland, CA)  ", SF , 6-6 / 190 ,388,82,29,0.7667,st-marys,2005
Omar Samhan," San Ramon Valley (Danville, CA)  ", C , 6-9 / 270 ,399,27,32,0.7667,st-marys,2005
Wayne Hunter," Bridgton Academy (Bridgton, ME)  ", SG , 6-4 / 200 ,623,160,5,0.7667,st-marys,2005
Neal Zumwalt," Portland Christian School (Portland, OR)  ", PG , 6-3 / 190 ,290,54,4,0.8111,eastern-washington,2005
Derek Risper," Saddleback College (Mission Viejo, CA)  ", PF , 6-8 / 230 ,22,8,5,0.8111,eastern-washington,2005
Brandon Moore," Bethel (Spanaway, WA)  ", PF , 6-9 / 225 ,315,89,9,0.8111,eastern-washington,2005
Tony Jones," Hill College (Hillsboro, TX)  ", SF , 6-7 / 215 ,13,5,3,0.8556,idaho-state,2005
Miguel Millien," Trinidad (Trinidad, CO)  ", PF , 6-7 / 195 ,282,81,6,0.8111,idaho-state,2005
Jamahl Holden," Apple Valley (Apple Valley, CA)  ", SG , 6-4 / 175 ,400,101,33,0.7667,idaho-state,2005
Akbar Abdul-Ahad," Indian Hills C.C. (Ottumwa, IA)  ", PG , 6-0 / 175 ,96,22,6,0.7667,idaho-state,2005
Aaron Smith," Troy Jr-sr (Troy, ID)  ", SG , 6-7 / 200 ,384,98,1,0.7667,idaho,2005
Brett Ledbetter," Warrenton (Warrenton, MO)  ", SG , 6-3 / 180 ,421,109,8,0.7667,idaho,2005
David Dubois," Madison (Milwaukee, WI)  ", SF , 6-5 / 215 ,598,119,6,0.7667,idaho,2005
Keoni Watson," Seward County C.C. (Liberal, KS)  ", PG , 5-10 / 180 ,112,28,9,0.7667,idaho,2005
Robert Pankowski," Boise Senior (Boise, ID)  ", PF , 6-8 / 230 ,627,167,2,0.7667,idaho,2005
Ryan Staudacher," Lake Washington (Kirkland, WA)  ", SG , 6-3 / 189 ,469,124,12,0.7667,montana,2005
Stuart Mayes," Elkhart Central (Elkhart, IN)  ", SG , 6-4 / 190 ,528,137,11,0.7667,montana,2005
Bryan Ellis," Detroit City (Detroit, MI)  ", PG , 5-9 / 180 ,541,112,9,0.7667,montana,2005
Chawn Johnson," Antelope Valley Christian School (Lancaster, CA)  ", PF , 6-8 / 240 ,396,112,31,0.7667,montana-state,2005
Derrick Edmonds," Baton Rouge (Baton Rouge, LA)  ", SG , 6-1 / 175 ,517,135,11,0.7667,montana-state,2005
Branden Johnson," Eisenhower (Yakima, WA)  ", PF , 6-8 / 215 ,592,159,17,0.7667,montana-state,2005
Josh Wilson," Mark Morris (Longview, WA)  ", SG , 6-2 / 180 ,383,97,10,0.7667,northern-arizona,2005
Marques Green," North Eugene (Eugene, OR)  ", SG , 6-3 / 190 ,445,116,8,0.7667,northern-arizona,2005
Tyrone Bazy," Temple (Temple, TX)  ", SG , 6-1 / 170 ,540,143,69,0.7667,northern-arizona,2005
Dwayne Birden," Baltimore City College (Baltimore, MD)  ", SF , 6-6 / 215 ,368,80,7,0.7667,northern-colorado,2005
Darren Jeffries," Suitland (District Heights, MD)  ", PG , 6-2 / 175 ,375,72,9,0.7667,northern-colorado,2005
Cory Lowe," Mt. Hood Community College (Gresham, OR)  ", PF , 6-8 / 255 ,55,21,1,0.7667,northern-colorado,2005
Dorian McDaniel," Westchester Senior (Los Angeles, CA)  ", SF , 6-5 / 210 ,508,99,46,0.7667,northern-colorado,2005
Cedric Owens," Kansas City C.C. (Kansas City, KS)  ", SG , 6-3 / 190 ,130,26,12,0.7667,northern-colorado,2005
Ryan Sommer," Snohomish (Snohomish, WA)  ", PG , 6-0 / 165 ,530,109,15,0.7667,portland-state,2005
Anthony Locke," Bakersfield (Bakersfield, CA)  ", SG , 6-3 / 185 ,600,154,56,0.7667,portland-state,2005
Juma Kamara," City College of San Francisco (San Francisco, CA)  ", SG , 6-6 / 200 ,143,28,28,0.7667,portland-state,2005
Kris Groce," Pasco Senior (Pasco, WA)  ", PG , 5-10 / 150 ,509,106,13,0.7667,sacramento-state,2005
Justin Williams," Corona (Corona, CA)  ", SF , 6-6 / 200 ,512,101,47,0.7667,sacramento-state,2005
Henry Uhegwu," Dixie (Saint George, UT)  ", SG , 6-3 / 190 ,365,88,7,0.7667,southern-utah,2005
Marcus Carson," Oakland (Oakland, CA)  ", SG , 6-4 / 180 ,420,108,37,0.7667,southern-utah,2005
David Marek," Scotland County (Laurinburg, NC)  ", PG , 6-0 / 175 ,427,86,16,0.7667,southern-utah,2005
Junior Abrahao," Western Nebraska C.C. (Scottsbluff, NE)  ", SF , 6-6 / 220 ,83,12,1,0.7667,southern-utah,2005
Eli Davis," Deer Valley Academy (Phoenix, AZ)  ", SG , 6-4 / 190 ,504,133,9,0.7667,southern-utah,2005
Fernando Bonfim," Central (Bridgeport, CT)  ", C , 7-0 / 275 ,629,48,7,0.7667,southern-utah,2005
Justin Allen," Saddleback College (Mission Viejo, CA)  ", SG , 6-0 / 170 ,129,25,25,0.7667,southern-utah,2005
Nedim Pajevic," Newport Harbor (Newport Beach, CA)  ", C , 6-9 / 235 ,548,39,50,0.7667,weber-state,2005
Nicholas Covington," Little Rock Central (Little Rock, AR)  ", SG , 6-3 / 190 ,677,180,6,0.7667,weber-state,2005
Clint Burris," Olney Central College (Olney, IL)  ", PF , 6-8 / 260 ,133,41,5,0.7667,weber-state,2005
Ledell Eackles," Baton Rouge (Baton Rouge, LA)  ", PG , 5-10 / 160 ,401,78,8,0.7667,campbell,2005
Michael Baskerville," North East (North East, MD)  ", SG , 6-2 / 190 ,425,111,13,0.7667,campbell,2005
J'Quincy Jones," Baton Rouge (Baton Rouge, LA)  ", SG , 6-2 / 185 ,534,140,12,0.7667,campbell,2005
Ricky McPhee," Parkview (Lilburn, GA)  ", SG , 6-1 / 165 ,374,93,21,0.7667,gardner-webb,2005
Takayo Siddle," John M Morehead (Eden, NC)  ", PG , 5-11 / 185 ,579,120,23,0.7667,gardner-webb,2005
Ed Moore," Tyler J.C.  (Tyler, TX)  ", PG , 6-0 / 185 ,131,33,24,0.7667,gardner-webb,2005
Bryan Bostic," Norcross (Norcross, GA)  ", SG , 6-4 / 200 ,380,95,22,0.7667,presbyterian,2005
Travis Sligh," Keenan (Columbia, SC)  ", SF , 6-4 / 200 ,511,100,5,0.7667,presbyterian,2005
Reid Augst," Benedictine (Richmond, VA)  ", SF , 6-7 / 175 ,546,109,22,0.7667,unca,2005
Michael Ellis," Statesville (Statesville, NC)  ", SG , 6-5 / 190 ,687,185,26,0.7667,unca,2005
Mantoris Robinson," Fork Union Military Academy (Fork Union, VA)  ", PF , 6-6 / 200 ,11,3,11,0.7667,winthrop,2005
DeAndre Adams," South Cobb (Avondale Estates, GA)  ", PG , 5-10 / 170 ,657,133,27,0.7667,winthrop,2005
Matt Hewson," C. D. Hylton (Woodbridge, VA)  ", C , 7-1 / 210 ,604,45,27,0.7667,delaware,2005
Kent Tribbett," Chester (Chester, PA)  ", PF , 6-9 / 220 ,240,65,4,0.8556,drexel,2005
Chris Gadley," Amherst Central (Buffalo, NY)  ", PF , 6-8 / 245 ,149,37,10,0.8556,hofstra,2005
Zygis Sestokas," Statesville Christian School (Statesville, NC)  ", SG , 6-5 / 190 ,320,79,12,0.8111,hofstra,2005
Robert Hines," Trenton Central (Trenton, NJ)  ", PF , 6-5 / 250 ,394,111,15,0.7667,hofstra,2005
Arminus Urbutis," Montverde Academy (Montverde, FL)  ", PF , 6-9 / 215 ,441,119,29,0.7667,hofstra,2005
Juwann James," Raines (Jacksonville, FL)  ", PF , 6-6 / 210 ,284,83,22,0.8111,james-madison,2005
Lewis Lampley," Admiral Farragut Academy (Saint Petersburg, FL)  ", PG , 6-3 / 180 ,292,55,23,0.8111,james-madison,2005
Colby Santos," Tabor Academy (Marion, MA)  ", PG , 6-4 / 180 ,367,70,10,0.7667,james-madison,2005
Kyle Swanson," Worcester Academy (Worcester, MA)  ", SF , 6-7 / 195 ,602,120,17,0.7667,james-madison,2005
Marc Pratt," Salt Lake Community College (Salt Lake City, UT)  ", SF , 6-5 / 210 ,97,16,3,0.7667,towson,2005
Dennard Abraham," South Plains College (Levelland, TX)  ", C , 6-9 / 250 ,146,11,30,0.7667,towson,2005
Peter Stein," Westbury (Houston, TX)  ", PF , 6-8 / 215 ,334,95,42,0.8111,wm,2005
Calvin Baker," Woodside (Newport News, VA)  ", SG , 6-2 / 180 ,407,104,14,0.7667,wm,2005
Alex Smith," Oak Hill Academy (Mouth Of Wilson, VA)  ", PF , 6-6 / 235 ,559,148,24,0.7667,wm,2005
K.J. Matsui," Montrose Christian School (Rockville, MD)  ", SG , 6-2 / 190 ,372,91,8,0.7667,columbia,2005
Brian Kreefer," Buckeye On-line School For Success (East Liverpool, OH)  ", PF , 6-7 / 215 ,475,128,9,0.7667,cornell,2005
Conor Mullen," O'Dea (Seattle, WA)  ", SF , 6-6 / 220 ,519,104,14,0.7667,cornell,2005
Robert Burris," Emsley A Laney (Wilmington, NC)  ", SF , 6-5 / 190 ,585,117,24,0.7667,cornell,2005
Jason Battle," New Hanover (Wilmington, NC)  ", SG , 6-4 / 185 ,608,156,25,0.7667,cornell,2005
Adam Gore," Monrovia (Monrovia, IN)  ", PG , 6-0 / 180 ,640,130,15,0.7667,cornell,2005
Devon Mosley," Mesquite (Mesquite, TX)  ", PG , 6-1 / 175 ,515,107,63,0.7667,dartmouth,2005
Drew Housman," Calabasas (Calabasas, CA)  ", PG , 5-9 / 155 ,285,51,20,0.8111,harvard,2005
Evan Harris," The Hill School (Pottstown, PA)  ", PF , 6-7 / 200 ,403,114,8,0.7667,harvard,2005
Brennan Votel," Covington Catholic (Alexandria, KY)  ", PF , 6-7 / 210 ,322,92,3,0.8111,pennsylvania,2005
Cameron Lewis," Phillips Exeter Academy (Exeter, NH)  ", C , 6-9 / 210 ,448,30,7,0.7667,pennsylvania,2005
Tommy McMahon," Junipero Serra (San Mateo, CA)  ", SF , 6-6 / 190 ,549,110,51,0.7667,pennsylvania,2005
Jason Briggs," Olympia (Olympia, WA)  ", SG , 6-2 / 190 ,648,170,19,0.7667,princeton,2005
Reid Wittman," Trinity-Pawling School (Pawling, NY)  ", PF , 6-7 / 190 ,341,97,17,0.8111,yale,2005
Ed White," Harvard Westlake (Studio City, CA)  ", SG , 6-3 / 190 ,635,163,62,0.7667,yale,2005
Travis Pinick," Orange Lutheran (Orange, CA)  ", SG , 6-6 / 195 ,647,169,63,0.7667,yale,2005
Brian Greene," Santa Fe Community College (Gainesville, FL)  ", SG , 6-5 / 205 ,62,14,7,0.7667,famu,2005
Joe Ballard," Westinghouse (Pittsburgh, PA)  ", PG , 5-11 / 190 ,640,130,18,0.7667,famu,2005
Demario Mattox," Franklin County (Rocky Mount, VA)  ", SG , 6-3 / 180 ,539,142,21,0.7667,hampton,2005
Qavotstaraj Waddell," Coastal Christian Academy (Virginia Beach, VA)  ", C , 7-0 / 225 ,281,21,12,0.8111,umes,2005
Jesse Brooks," Archbishop Spalding (Severn, MD)  ", PG , 6-0 / 155 ,613,125,19,0.7667,umes,2005
Joshua Worthy," Lewisville (Lewisville, TX)  ", SF , 6-5 / 180 ,643,127,84,0.7667,nccu,2005
Bennie Washington," Daytona State College (Daytona Beach, FL)  ", PG , 5-10 / 165 ,102,24,15,0.7667,south-carolina-state,2005
Nick Pontes," New Bedford (New Bedford, MA)  ", C , 6-6 / 240 ,449,31,13,0.7667,bryant,2005
Darryl Johnson," Atlantic City (Atlantic City, NJ)  ", PF , 6-8 / 205 ,387,108,14,0.7667,fairleigh-dickinson,2005
Cameron Tyler," Notre Dame Preparatory School (Fitchburg, MA)  ", SG , 5-11 / 175 ,478,126,15,0.7667,fairleigh-dickinson,2005
Naim Benjamin," Des Moines Christian School (Urbandale, IA)  ", SG , 6-2 / 215 ,639,167,6,0.7667,liu-brooklyn,2005
Tyrone Mattison," Eastern Commerce Collegiate Institute (Toronto, ON)  ", PG , 6-0 / 195 ,702,144,2,0.7667,liu-brooklyn,2005
Kirk Bunn," College of Southern Idaho (Rogerson, ID)  ", SF , 6-5 / 205 ,11,3,2,0.8556,mount-st-marys,2005
Sam Atupem," Woodside (Newport News, VA)  ", C , 6-8 / 215 ,581,41,26,0.7667,mount-st-marys,2005
Kelvin Bright," James Hubert Blake (Silver Spring, MD)  ", SG , 6-3 / 180 ,390,100,11,0.7667,robert-morris,2005
Josh Johnson," Polk State College (Lakeland, FL)  ", PF , 6-6 / 210 ,89,33,12,0.7667,robert-morris,2005
Liam Potter," Tilton School (Tilton, NH)  ", C , 7-0 / 230 ,522,38,9,0.7667,sacred-heart,2005
Jelani Lawrence," South Plains College (Levelland, TX)  ", PF , 6-7 / 225 ,91,34,15,0.7667,saint-francis,2005
Lex James," City College of San Francisco (San Francisco, CA)  ", PF , 6-9 / 230 ,30,11,9,0.8000,sfny,2005
Matt Kittrell," Benedictine (Richmond, VA)  ", C , 6-9 / 220 ,460,35,16,0.7667,wagner,2005
J.P. Felder," Campbell (Smyrna, GA)  ", PF , 6-7 / 240 ,679,174,29,0.7667,austin-peay,2005
Mike Robinson," Hales Franciscan (Chicago, IL)  ", PG , 6-0 / 185 ,405,79,21,0.7667,eastern-illinois,2005
Kyree Brown," Central (Philadelphia, PA)  ", PG , 6-3 / 175 ,484,101,14,0.7667,eastern-illinois,2005
